job_id,title,company,location,experience_level,skills_required,description
1,Data Analyst,BrightPath Analytics,Bangalore,Entry Level,"python, sql, excel, powerbi, statistics","Analyze business data to find trends and insights. Build dashboards in Power BI and write SQL queries to extract data from company databases."
2,Machine Learning Engineer,NeuraTech Solutions,Hyderabad,Mid Level,"python, machine learning, tensorflow, scikit-learn, deep learning","Design and deploy machine learning models for production. Work with tensorflow and scikit-learn to build predictive systems."
3,Frontend Developer,PixelCraft Studio,Pune,Entry Level,"javascript, react, html, css, git","Build responsive user interfaces using React. Collaborate with designers to implement pixel-perfect web pages."
4,Backend Developer,CloudNine Systems,Remote,Mid Level,"python, django, sql, rest api, docker","Develop and maintain backend services using Django and REST APIs. Deploy services using Docker containers."
5,Data Scientist,QuantEdge Labs,Bangalore,Senior Level,"python, machine learning, statistics, pandas, deep learning","Lead data science projects from data collection to model deployment. Use statistics and machine learning to solve business problems."
6,DevOps Engineer,InfraCore Technologies,Chennai,Mid Level,"aws, docker, kubernetes, ci/cd, linux","Manage cloud infrastructure on AWS. Set up CI/CD pipelines and maintain Kubernetes clusters."
7,UI/UX Designer,PixelCraft Studio,Pune,Entry Level,"figma, adobe xd, ui design, prototyping, html, css","Design user-friendly interfaces and prototypes using Figma. Work closely with frontend developers."
8,Full Stack Developer,CloudNine Systems,Remote,Mid Level,"javascript, react, node.js, mongodb, express","Build end-to-end web applications using the MERN stack. Handle both client-side and server-side development."
9,Business Analyst,BrightPath Analytics,Mumbai,Entry Level,"excel, sql, powerbi, communication, business analysis","Gather business requirements and translate them into data reports. Present insights to stakeholders using Power BI."
10,AI Research Engineer,NeuraTech Solutions,Hyderabad,Senior Level,"python, deep learning, pytorch, nlp, research","Conduct research on deep learning and NLP techniques. Publish findings and build prototype models using PyTorch."
11,Cloud Engineer,InfraCore Technologies,Chennai,Mid Level,"aws, azure, cloud architecture, linux, networking","Design and manage scalable cloud architecture on AWS and Azure for enterprise clients."
12,Data Engineer,QuantEdge Labs,Bangalore,Mid Level,"python, sql, spark, etl, airflow","Build data pipelines using Spark and Airflow. Manage ETL processes for large-scale data systems."
13,Mobile App Developer,AppForge Inc,Pune,Entry Level,"java, kotlin, android, flutter, git","Develop and maintain Android mobile applications using Kotlin and Flutter."
14,QA Engineer,CloudNine Systems,Remote,Entry Level,"selenium, testing, python, sql, automation","Design and execute automated test cases using Selenium. Ensure software quality through manual and automated testing."
15,Product Manager,BrightPath Analytics,Mumbai,Senior Level,"product management, communication, agile, sql, strategy","Define product roadmap and work with engineering teams using Agile methodology to deliver features."
16,NLP Engineer,NeuraTech Solutions,Hyderabad,Mid Level,"python, nlp, machine learning, transformers, pytorch","Build natural language processing systems using transformer models and PyTorch."
17,Network Engineer,InfraCore Technologies,Chennai,Entry Level,"networking, linux, cisco, security, troubleshooting","Maintain and troubleshoot enterprise network infrastructure and ensure network security."
18,Data Analyst Intern,QuantEdge Labs,Bangalore,Entry Level,"python, excel, sql, statistics, powerbi","Support the data team with reporting, data cleaning, and basic statistical analysis."
19,Software Engineer,AppForge Inc,Pune,Mid Level,"java, spring boot, sql, microservices, git","Develop scalable backend microservices using Java and Spring Boot."
20,AI Product Manager,NeuraTech Solutions,Remote,Senior Level,"product management, machine learning, communication, strategy, agile","Bridge the gap between AI research teams and business goals, defining product strategy for AI features."
